Вид A B1 B2 PP C P
Абрикос 1.6 0.03 0.06 0.07 6 570
Айва 0.2 0.03 0.03 0.02 115 415
Виноград 0.01 0.01 0.01 0.06 4 300
Вишня 0.7 0.03 0.03 0.04 15 370
Груша 0.01 0.02 0.03 0.01 5 120
Земляника 0.03 0.03 0.05 0.03 60 200
Крыжовник 0.2 0.01 0.02 0.25 32 250
Малина 0.02 0.02 0.05 0.06 25 180
Персик 0.05 0.04 0.01 0.07 15 350
Слива 0.07 0.06 0.04 0.06 5 312
смородина 0.1 0.02 0.02 0.03 200 500
Черешня 0.15 0.01 0.01 0.04 15 95
Шиповник 0.25 0.03 0.06 0.05 300 600
Яблоко 0.03 0.01 0.03 0.03 5 250
